disease_name,introduction,symptoms,causes,diagnosis,management
Phlyctenular Keratoconjunctivitis,"Phlyctenular keratoconjunctivitis (PKC), Phlyctenular conjunctivitis, Phlyctenulosis or phlyctenular eye disease (PED) is an endogenous type IV delayed hypersensitivity (T cell-mediated) allergic reaction to an antigen. It is an inflammatory condition which causes marked photophobia and mucopurulent discharge. PKC is characterised by sub-epithelial, single or multiple, gray-white, raised conjunctival or corneal nodules, generally at or near the limbus, surrounded by a zone of engorged hyperaemic vessels.",PKC produces symptoms like:,"Phlyctenular keratoconjunctivitis is an endogenous non-infectious inflammatory type IV delayed hypersensitivity (T cell-mediated) allergic reaction to an antigen. The disease is common in malnourished and debilitated children between five and twelve years of age. These children may suffer from enlarged tonsils, adenoids and cervical lymphadenopathy.","Clinical signs may vary slightly according to the specific causative organism. It may occur either unilaterally or bilaterally in the conjunctiva, cornea or at limbus. The presence of phlycten on the palpebral conjunctiva is a rarity. Phlyctenulosis may also be an incidental finding in asymptomatic patients with a recent history of bacterial, parasitic, or fungal infection.",Management should be carried out under medical supervision only.
Plague,"Plague is a communicable disease, caused by bacterium Yersinia pestis. It is one of the oldest diseases known to man and still occurs in the tropics, subtropics and warmer areas of temperate countries. Past outbreaks have shown that plague may reoccur in areas that have long remained silent.","Incubation period (time taken between catching an infection and appearance of symptoms) of the disease is 3-7 days. Disease starts with flu like symptoms such as sudden onset of fever, chills, head and body-aches and weakness, vomiting and nausea.","Plague is caused by Yersinia pestis (non-motile, non-acid fast, non spore forming, gram-negative cocco-bacillus). Y. pestis is easily destroyed by sunlight, high temperatures, and disinfectants.","When plague is suspected, clinical specimens should be collected immediately and specific antimicrobial treatment should be started before confirmation of laboratory diagnosis. Routine diagnostic specimens for smear and culture include the following: whole blood; aspirates from suspected buboes; pharyngeal swabs, sputum samples or tracheal washes (from those with suspected plague pharyngitis or pneumonia); and cerebrospinal fluid (from those with suspected meningitis).",As the disease is fatal early diagnosis and treatment is essential for the good prognosis of the patient.
Pinguecula,"Pinguecula (derived from Latin word pinguis, which means fat) represents an area of bulbar conjunctival thickening adjoining limbus in the palpebral fissure area. Pinguecula are less transparent than normal conjunctiva and often have a fatty appearance. They are usually bilateral, triangular, elevated, white to yellow in colour, horizontally oriented, and are located nasally much more often than temporally. They may also present on both the nasal and temporal conjunctiva in the eyes of some patients. Pinguecula does not cross the limbus, and current information suggests that pinguecula does not progress to pterygium and that the two are distinct disorders.",Pinguecula are usually asymptomatic.,The causes of pinguecula are not known with certainty.,The diagnosis is usually clinical and may require slit-lamp biomicroscopy.,Management should be carried out under medical supervision.
Preterm Birth,"Preterm birth (premature birth) is a significant public health problem across the world because of associated neonatal (first 28 days of life) mortality and short- and long-term morbidity and disability in later life. Preterm is defined by World Health Organization (WHO) as babies born alive before 37 completed weeks of gestation or fewer than 259 days of gestation since the first day of a woman’s last menstrual period (LMP). Normally, a pregnancy lasts about 40 weeks.","Preterm is defined as babies born alive before 37 weeks of pregnancy or fewer than 259 days of gestation are completed since the first day of a woman’s last menstrual period (LMP). There are sub-categories of preterm birth, based on gestational age:",Preterm birth is a syndrome with a variety of causes which can be classified into two broad subtypes:,"To date, there is no single test or sequence of assessment measures to accurately predict preterm birth. Clinical, biophysical, and biochemical tests that can be used as predictors for preterm birth are:",Management of preterm birth incorporates the specialized care of women during pregnancy and child birth along with care of newborn (preterm) baby.
Preeclampsia,Preeclampsia is one of the hypertensive (high blood pressure) disorders of pregnancy. It is a major cause of maternal and perinatal mortality (number of stillbirths and deaths of newborn in the first week of life) and morbidity.,"Although pathophysiological changes (e.g. inadequate placentation) exist from very early stages of the pregnancy, hypertension and proteinuria usually become apparent in the second half of pregnancy.",Causes-,Diagnostic criteria for Preeclampsia (ACOG):,"Management of pregnant women with preeclampsia without severe features aims with first consideration of safety of women and her foetus and second with delivery of a mature newborn that will not require intensive or prolonged neonatal care. It depends on the results of maternal and fetal evaluation, gestational age, presence of labour, or rupture of membranes, vaginal bleeding and wishes of the women."
Pellucid Marginal Degeneration,"Pellucid marginal degeneration (PMD) is a bilateral (may be asymmetric), progressive, inferior crescentic peripheral thinning of the cornea. There is no vascularisation, infiltration or scarring in the area of involved cornea. Band of thinning measures about 1 to 2mm in width and extends from 4 to 8 o’clock position (about 6 to 8mm), leaving a normal band of 1 to 2mm from the limbus. The condition affects both men and women between 20 to 40 years of age. The condition results in high irregular astigmatism and rarely may develop acute hydrops (stromal oedema due to leakage of aqueous humour through breaks in Descemet’s membrane) or even perforation. It differs from keratoconus in that it has no iron ring, its thinning is in inferior part without a cone; and the corneal protrusion is located above (rather than) in the area of thinning. Pellucid marginal degeneration and keratoconus may exist in the same eye and in different eyes of the same patient. This association in the same patient suggests that pellucid marginal degeneration, keratoconus and keratoglobus (generalised thinning and globular protrusion of the cornea) may be varying spectrum of the same pathophysiology rather than separate disease processes. The central cornea is usually of normal thickness, and the epithelium overlying the area of thinning is intact. Rarely, it may involve superior part of cornea.",Pellucid marginal degeneration is usually asymptomatic except for visual deterioration.,"The exact cause of pellucid marginal degeneration is not clear and it is not known whether PMD, keratoconus, and keratoglobus are distinct diseases or phenotypic variations of the same disorder. Due to the concomitant presence of PMD with keratoconus in the same eye, many have proposed that PMD is a peripheral form of keratoconus.","Diagnosis depends upon history, slit-lamp examination, pachymetry (measures thickness of the cornea) and corneal topography.",Management should be carried out under medical supervision.
Presbyopia,Presbyopia is the gradual age- related loss of accommodative amplitude which begins early in life and culminates in complete loss of accommodation by about 50 years of age. The word presbyopia is derived from the Greek words presbus (meaning old man) and ops (eye).,"Patients with latent hypermetropia (far- sightedness) use a portion of their accommodative reserve to focus at distance, and may present with premature presbyopia. Mild myopia (short- sightedness), in contrast, may have delayed onset of symptoms of presbyopia.",Presbyopia is caused due to loss of the fine balance of forces that permit the accommodative structures to bring a change in optical power of the lens in the young eye.,Diagnosing presbyopia is straightforward and age of the patient is a major consideration. A simple reading test using well- illuminated text of graded sizes at a standard distance may be helpful both in characterising the degree of near- vision and in determining the appropriate refractive power.,Management should be carried out under medical supervision.
Premenstrual Syndrome,Premenstrual syndrome (PMS) is a common health problem in women in reproductive age.PMS refers to the changes in female’s mood along with certain physical symptoms relating to her menstrual cycle that are significant enough to affect her quality of life.,"Symptoms of PMS have been reported to affect as many as 90% of women of reproductive age, sometime during their lives. Symptoms occur during the two weeks before a woman's period starts, known as the luteal phase of the menstrual cycle. The symptoms typically become more intense in the two to three days prior to the period and usually resolve after the first day or two of flow. Symptoms vary from woman to woman. Symptoms may occur in the form of following changes-","The definitive cause of PMS is unknown, however following etiologies are postulated based on recent research such as-","Diagnosis of PMS is done clinically according to symptoms and by ruling out other conditions having similar symptoms such as depression, anxiety, peri-menopause, chronic fatigue syndrome, irritable bowel syndrome, thyroid disease. Depression and anxiety disorders are the most common conditions that overlap with PMS however; in these conditions symptoms are present all month long and may worsen before or during the periods.","If symptoms of PMS are mild to moderate, they can be relieved by life style changes that mainly include healthy diet and exercise. Behavioral counseling and stress management may help the patients regain control during times of high emotional disturbances."
Pseudophakia,Pseudophakia refers to the presence of an intraocular lens (IOL) implant. The IOL may be inserted at the time of cataract surgery for the removal of crystalline lens or it may be put as a secondary procedure to correct aphakia. The IOL may be placed in the anterior chamber (anterior-chamber IOL) or posterior chamber (posterior-chamber IOL).,Pseudophakia patients are generally asymptomatic.,Pseudophakia is the condition being produced by implantation of an intraocular lens in the eye.,Diagnosis depends upon,Usually no management is required in pseudophakia.
Pseudostrabismus,"Pseudostrabismus gives an appearance of strabismus (squint) when no manifest deviation of the visual axis is actually present. This apparent misalignment of the eyes is created by certain morphological features of the face, although it may be associated with certain ocular or orbital conditions. The most common form of pseudostrabismus is pseudoesotropia where the eyes appear crossed. There may be pseudoexotropia, where eyes appear to be deviated outwards and pseudohypertropia where eyes appear to be misaligned vertically.","Usually parents notice squint in the eyes of young child. The deviation is more noticeable when the child turns head and the eyes are in lateral gaze, especially in pseudoesotropia because nasal sclera appears buried in the epicanthal fold.",I. Pseudoesotropia: Pseudoesotropia is the most common type of pseudostrabismus and may be seen due to,Clinical diagnosis of pseudostrabismus requires ruling out the presence of true intermittent or constant strabismus.,Orthoptic investigation establishes the presence of binocular single vision and fusion control in cases of pseudostrabismus.
Puerperal Sepsis,Puerperal sepsis,"Puerperal sepsis was defined as infection of the genital tract occurring at any time between the onset of rupture of membranes or labour, and the 42nd day postpartum in which two or more of the following symptoms and signs may be present-","Puerperal sepsis is bacterial infection of the genital tract which occurs after the birth of a baby. Some of the most common bacteria causing puerperal sepsis are streptococci, staphylococci, escherichia coli (E.coli), clostridium tetani, clostridium welchii, chlamydia and gonococci (bacteria which cause sexually transmitted diseases). More than one type of bacteria may be involved in puerperal sepsis. Bacteria may be either nosocomial, endogenous or exogenous.","General history and clinical examination of women after child birth are important steps in assessing the post partum complications. Vital signs such as temperature, pulse, respiration, blood pressure, and examination of breast, abdomen, perineum, legs; lochia (discharge after child birth) should be examined carefully.","The objective of management in puerperal sepsis is to make an early diagnosis, treat, prevent complications, and consequently to improve quality of life."
Postpartum Haemorrhage,"Postpartum haemorrhage (PPH) is a complication of delivery and the most common cause of maternal death, accounting for about 35% of all maternal deaths worldwide. These deaths have a major impact on the lives and health of the families affected.",The usual presentation of PPH is one of heavy vaginal bleeding that can quickly lead to signs and symptoms of hypovolemic shock.,"Postpartum haemorrhage (PPH) may result from various reasons such as failure of the uterus to contract adequately (atony), genital tract trauma (vaginal or cervical lacerations), uterine rupture, retained placental tissue, or maternal bleeding disorders.","Diagnosis of PPH is usually performed by closely observing the pregnant women during child birth and afterwards. After childbirth, blood loss and other clinical parameters should be closely monitored. When estimating the percentage of blood loss, consideration should be given to body weight and the original haemoglobin level (PPH may be aggravated by pre-existing anaemia).","As the majority of women who experience PPH complications have no identifiable clinical risk factors, it is recommended that active management of the third stage of labour (AMTSL) be offered to all women during childbirth, whenever a skilled provider is assisting with the delivery."
Photophthalmia,Photophthalmia is produced due to exposure to short wavelength ultraviolet (UV) rays (especially in wavelength range of 311- 290 nanometer). The cornea absorbs ultraviolet radiation. This may be associated with,Symptoms of photophthalmia usually manifest with a latent period of about 4- 5 hours after exposure to ultraviolet rays. It includes,Photophthalmia may be caused due to exposure to short wavelength,Diagnosis depends upon the clinical history and signs observed on examination.,Management should be carried out under medical supervision.
Post-Herpetic Neuralgia,"Post-herpetic neuralgia (PHN) is defined as a chronic neuropathic pain that persists for three or more months following acute Herpes zoster (shingles) infection. It is a severe painful secondary phase, which may develop three to six months after the resolution of initial phase of Herpes zoster (HZ) infection. Pain has a dermatomal distribution and is confined to same dermatome as the rash. Herpes zoster infection results from activation of the varicella zoster virus (VZV) which remains latent in dorsal root ganglia since the first infection of chickenpox (varicella). Pain frequently precedes Herpes zoster infection (pre-herpetic neuralgia), and outlasts the herpetic rash by some weeks. It is more common in older individuals (develops in up to 75% of patients over 70 years of age) and is less common in individuals younger than fifty years of age.","The crusts of Herpes zoster falls away on healing, and leave pink scars in the distribution of rashes. The scars gradually become hypo-pigmented and atrophic.",Risk factors for developing PHN are,The diagnosis of PHN is by clinical examination in most of the patients.,Management
Postpartum Depression/ Perinatal Depression,Postpartum depression (PPD) is depression that occurs to a mother after a childbirth. PPD is defined as an episode of non-psychotic depression with onset within 1 year of childbirth. PPD can happen any time after childbirth. It often starts within 1 to 3 weeks after a childbirth and may last for weeks or months at a time.,"The patterns of symptoms in women with postpartum depression are similar to those in women who have depression unrelated to childbirth, apart from the fact that the content may focus on the delivery or baby.",Postpartum depression probably is caused by a combination of factors. These factors include the following:,"A health care provider can diagnose a woman with postpartum depression. Because symptoms of this condition are broad and may vary between women, a health care provider can help a woman figure out whether the symptoms she is feeling are due to postpartum depression or something else. A woman who experiences any of these symptoms should see a health care provider right away.",Many options are there for managing PPD during pregnancy or after birth. Some women may participate in counseling (talk therapy); and others may need medication. There is no single treatment that works for everyone.
Q Fever,"Q fever is a bacterial infection caused by the coxiella burnetii bacteria. It causes flu-like symptoms such as a high temperature, muscle pain and headaches. The infection results from inhalation of a spore-like small cell variant, and from contact with the milk, urine, feces, vaginal mucus, or semen of infected animals. Rarely, the disease is also known as tick borne.,The ‘Q’ in Q fever stands for ‘query’. This is because when the infection was first indentified, its cause was unknown. The cause is now understood but the name has remained the sames.",Incubation period is usually two to three weeks. The most common manifestation is mild flu-like symptoms with:,"Q fever is caused by bacteria known as coxiella burnetii (or c. burnetii). This bacteria generally spreads by animals infected by the bacteria.,The most commonly affected animals, and those that pose the biggest risk to humans, are:","Q fever can be diagnosed using a blood test.,Blood test: If the c. burnetii bacteria that cause Q fever is present in blood, then immune system (the body’s natural defence system) will produce a type of protein called an antibody to kill them.",Antibiotics can be used for Q fever like doxycycline or tetracycline.
Quinsy,It is also known as peritonsillar abscess. It is collection of pus into tonsils and Peritonsilar space. The abscess (collection of pus) forms between one of tonsils and the wall of throat. This can happen when an infection spreads from an infected tonsil to the surrounding area.,Symptoms of quinsy can include:,"Peri Tonsillar Abscess is usually a complication of an untreated or partially treated acute tonsillitis. The infection, in these cases, spreads to the peritonsillar area (peritonsillitis). This region comprises loose connective tissue and is hence susceptible to formation of abscess.",The doctor may ask about symptoms and examine throat and tonsils,"Antibiotics are given to treat the infection. If the person is allergic to penicillin, clindamycin is generally administered."
Rabies,"Rabies is a fatal viral infection that targets the brain and nervous system. The disease is zoonotic i.e. it can be transmitted from one species to another, such as from dogs to humans, commonly following a bite from an infected animal. For a human, rabies is almost always fatal if post exposure prophylaxis (PEP) is not administered immediately following an exposure. The rabies virus infects the central nervous system, ultimately affecting the brain and resulting in death. The rabies virus travels to the brain through the peripheral nerves. The incubation period of the disease i.e. the time lag between the bite/exposure to rabies and onset of symptoms of the disease, is usually about a few days to few months in humans, depending on the site and severity of exposure, the   distance the virus must travel to reach the central nervous system and other factors.",The period between infection and the first flu-like symptoms is typically 2 to 12 weeks.  Initially the symptoms usually include one or more of the following:,"The rabies virus belongs to a group of viruses called lyssaviruses, which can infect mammals. The virus is present in the saliva of rabid animal.",The primary diagnosis of rabies depends on clinical presentation and history of exposure to a suspect rabid animal or rabies virus (RABV).,"Treatment depends upon the whether the patient has started to show any signs and symptoms. Once clinical symptoms appear, rabies is 100% fatal. Presently the treatment involves providing life-supporting services in intensive care facilities and other palliative measures."
Raynaud'S Phenomenon,"It is a vasospastic disorder causing discoloration of the fingers, toes and occasionally other areas. It is a condition that leads to brittle nails with longitudinal ridges. Raynaud's phenomenon includes Raynaud's disease (also known as ""Primary Raynaud's phenomenon"") where the phenomenon is idiopathic.","The condition can cause pain within the affected extremities, discoloration (paleness), and sensations of cold and numbness. These changes to the skin usually happen in three stages:","Raynaud's phenomenon is the result of over-sensitive blood vessels in the body's extremities. In many cases, no cause is identified, although it is sometimes linked to other health conditions.","Medical history taking by physician will often reveal whether the condition is primary or secondary. Once it is established, an examination is largely to identify possible secondary causes of Raynaud's phenomenon.",It is mainly managed by managing the trigger factors in case of primary Raynaud's. Secondary Raynaud's can be treated by treating its underlying courses.
Rubella,"Rubella (also known as german measles) is a viral infection that used to be common in children. Rubella is usually a mild infection. It can be fatal usually with minimal systemic upset although transient arthropathy may occur in adults. Serious complications such as deterioration of the skin is very rare. Apart from the effects of transplacental infection on the developing fetus, rubella is a relatively trivial infection.",Incubation period is for 2-3 weeks. Symptoms include:,Rubella is caused by the rubella virus (toga virus). The virus is spread through air by droplets from infected person to uninfected person.,Blood test:,Symptomatic treatment is generally provided. Ibuprofen/ paracetamol are generally administered to relieve pain and fever. Patients are advised to drink plenty of fluids.
Retinopathy Of Prematurity,"Retinopathy of prematurity (ROP), previously called retrolental fibroplasia, is a vaso-proliferative retinopathy which affects premature infants exposed to high concentration of oxygen. Retinopathy of prematurity often regresses but has the potential of causing visual impairment or blindness. ROP causes disorganised growth of retinal blood vessels which may lead to retinal scarring or even detachment of retina.",,"Retinopathy of prematurity occurs in pre-term infants born before the normal growth of retinal blood vessels. Like other retinopathies, local ischaemia of retina plays a role in ROP.",Diagnosis depends on the history of development and the clinical features.,The infant should be managed under medical supervision.
Recurrent Corneal Erosion Syndrome,"Recurrent Corneal Erosion Syndrome (RCES), a corneal epithelial adhesion disorder, is a painful, often frightening, and sometimes incapacitating condition of the cornea. Corneal epithelial cells undergo erosions and results in denuded areas on the corneal surface. These areas then re-epithelise, the process recurs and the epithelial cells slough again. With many patients, erosions are characteristically episodic in nature.","Patients with RCES may experience ocular (eye) symptoms (may be triggered by a trivial mechanical trauma), typically on awakening, such as:",RCES may be associated with trauma or anterior corneal dystrophies.,"Patients of RCES develop pain, watering, redness and photophobia that may vary from mild to severe. Some present with disease every day, but others have recurrences that may vary from every week or month to longer periods of time without any symptoms. Typically, pain is more severe at night or upon waking in the morning and may be related to REM during sleep or on opening of the eyelid. Patients are usually aware of this and they try to open the eyes gently every morning, but others refer that they are awakened in the middle of the night because of the pain. In acute phase of the disease, corneal erosion is always present, commonly in the lower half of the cornea, irrespective of the aetiology. This area of the cornea is in permanent contact with the tear film and lower lid and is most exposed to the evaporative dry eye disease.",Management should be carried out under medical supervision.
Rheumatic Fever And Rheumatic Heart Disease,"Rheumatic fever (RF) and rheumatic heart disease (RHD) are major public health problems among children and young adults in developing countries; though RF/RHD has declined in developed countries. Acute rheumatic fever (ARF) is an illness caused by an immunological reaction to infection with the bacterium group A streptococcus (GAS). RF affects connective tissues, and may result in rheumatic heart disease which may progress to heart failure, atrial fibrillation, and embolic stroke.","Acute rheumatic fever (ARF) is preceded by sore throat. Sore throats are caused by a variety of bacteria and viruses and commonly affect all age groups; however, important symptoms and signs of Streptococcus sore throat are-","Rheumatic fever is caused by the immune system overreacting to the presence of group A streptococcus bacteria. During infection the immune system fights the infection by producing antibodies to proteins on the surface of the bacteria. In certain strains of group A streptococcal bacteria, the proteins on the bacteria appear similar to proteins in the human cells and the immune system begins to attack human cells with similar proteins such as heart, joints, skin.",There is currently no single test to diagnose acute rheumatic fever (ARF). Diagnosis is based on clinical assessment and the identification of a number of signs and symptoms that are associated with the illness. Signs and symptoms of ARF are divided into two categories: major and minor.,Management of Acute rheumatic fever (ARF) is based on treating infection and relieving symptoms. This includes:
Ramsay-Hunt Syndrome,"Ramsay-Hunt Syndrome or Herpes zoster oticus is a syndrome characterised by acute otalgia, herpetic vesicular rash associated with facial palsy. This is the second most common cause of facial paralysis and is due to reactivation of the varicella-zoster virus that remains dormant/latent in the geniculate ganglion after primary infection with chickenpox. Characteristic presentation is severe acute otalgia with unilateral facial paralysis. Vesicular eruptions if not present initially, may appear usually within three to five days. The vesicles may appear on post-auricular skin, pinna, concha, ear canal, and tympanic membrane. Occasionally it may affect neck, shoulder or oral cavity. Besides facial nerve, it may affect other cranial nerves as well.","Commonly, Ramsay Hunt syndrome is a disease affecting elderly people or someone with immune deficiency. However, it may be seen in younger patients under conditions of stress.",Ramsay Hunt syndrome is caused due to reactivation of Varicella zoster virus (VZV) lying dormant in geniculate ganglion.,"Diagnosis of Ramsay Hunt syndrome is based upon the clinical history of otalgia associated with vesicular lesions or eschars, and facial paralysis.",Management includes
Rare Diseases,"Rare diseases are often serious, chronic and life-threatening conditions. WHO defines a rare disease as often debilitating lifelong disease or disorder with a prevalence of 1 or less, per 1000 population. However, different countries have their definitions to suit their specific requirements and in the context of their population, the health care system and resources.",,Causes,"Early diagnosis of rare diseases is a challenge because of multiple factors that include lack of awareness among primary care physicians, lack of adequate screening and diagnostic facilities.","About 95% of rare diseases have no approved treatment even when a correct diagnosis is made. Where drugs are available, they are quite expensive as very few pharmaceutical companies globally manufacture drugs for rare diseases. For this reason, rare diseases are also called ‘orphan diseases’ and drugs to treat them are called “orphan drugs."
Reiter’S Syndrome,"Reiter’s Syndrome/Disease) is an asymmetric polyarthritis which affect large joints of the lower extremities, small joints of the feet and axial skeleton (spondylitis). Reactive arthritis (ReA) is characterised by a triad of arthritis, urethritis, and conjunctivitis. It may be accompanied by mucocutaneous lesions. This disease is more common in males with an age of onset of about 15 to 35 years.",General systemic symptoms,The Cause of ReA appears to be,Diagnosis depends upon clinical examination and investigations.,"Management involves joint protection, maintenance of function, suppression of inflammation, patient education, pain relief, and eradication of infection where indicated."
Sarcoidosis,"Sarcoidosis is characterized by the presence of collections of inflammatory cells (granulomas). The disease primarily affects the lungs, but granulomas can also form in the lymph nodes, lungs, liver, eyes, and skin, and less often in the spleen, bones, joints, sinuses, skeletal muscles, kidneys, heart, reproductive organs, salivary glands, and nervous system. The granulomas may eventually disappear completely or become scar tissue.",Symptoms of sarcoidosis vary depending upon the organ affected:,"The exact cause of sarcoidosis is not known. There may genetic predisposition to developing the disease, which may be triggered by exposure to specific bacteria, viruses, dust or chemicals.",A physical exam may show the following:,"Medicinal: Steroids are generally prescribed to keep inflammation under control.,Surgery: Organ transplant may be considered if sarcoidosis has severely damaged lungs or liver."
Sarcoma,"Sarcoma is a cancer that arises from cells of mesenchymal  origin . Malignant tumors made of cancellous  bone, cartilage, fat, muscle, vascular, or hematopoietic tissues are considered sarcomas. There are three main types of sarcoma: soft tissue sarcoma, bone arcoma and gastrointestinal stromal tumours (GIST) and 100 sub types of sarcoma.","The most common symptom of bone cancer is bone pain. It generally begins with a feeling of tenderness in the affected bone, and then gradually progresses to a persistent ache that often feels worse during the night or while using the affected bone. Others symptoms of bone cancer include:",Cancer generally begins with the change in the DNA structure known as mutations.,X-rays: X-rays can often detect damage to the bones that is caused by cancer or any new bone that's growing because of cancer.,Chemotherapy: It is generally done to shrink the size of tumor and to treat any cancerous cells that may have spread.
Schizophrenia,Schizophrenia is a long-term mental health condition that causes a range of different psychological symptoms.,Changes in thinking and behavior are the most characteristic signs of schizophrenia. These include:,"The exact cause  of schizophrenia is unknown. It is suggested that a combination of physical, genetic, psychological and environmental factors can make people more likely to develop the condition.",No tests are available.Generally diagnosis is based on presenting symptoms  .,"The treatment of schizophrenia is with antipsychotic medications, often combined with psychological and social support  ."
Scurvy,"Scurvy is a medical condition that can develops due to deficiency of vitamin C in diet. Vitamin C (also called ascorbic acid) is vital for the body as it is needed to make collagen. Collagen is a type of protein found in many different types of tissue, such as skin, blood vessels, bones and cartilage (which covers the surface of joints). Without vitamin C, collagen can't be replaced and the different types of tissue break down.",,"Scurvy is caused by a lack of vitamin C in diet. There are usually other contributing factors, such as:",Scurvy can be diagnosed through the symptomatic approach.,
Severe Acute Respiratory Syndrome (Sars),"It is a viral respiratory disease in humans which is caused by the SARS coronavirus (SARS-CoV). It is a severe, life threatening form of pneumonia. SARS originated in the Guangdong province of southern China in 2002. The infection quickly spread to other countries (a pandemic), and resulted in more than 8,000 cases and 774 deaths before the virus was eventually brought under control.",SARS has flu-like symptoms that usually begins after incubation period of 2-10 days. They include:,"Coronaviruses are positive-strand, enveloped RNA viruses that are important pathogens of mammals and birds. This group of viruses cause enteric or respiratory tract infections in a variety of animals, including humans, livestock, and pets.","Polymerase chain reaction (PCR): It can detect genetic material of the SARS-CoV in various specimens like blood, stool, respiratory secretions or body tissues Sampling for Severe Acute Respiratory Syndrome (SARS) diagnostic tests.",Treatment is mainly supportive and may include:
Swine Flu,,Swine flu has an incubation period (the time taken for the symptoms to appear) of 1-4 days. Its symptoms are similar to influenza (flu). These include:,"Swine flu is caused by virus called H1N1 virus. This virus infects the wind pipe (respiratory tract) of pigs and later it gets transmitted to human beings. It results in nasal secretions, cough, decreased appetite, and restless behavior.",Swine flu can be diagnosed clinically by the patient's history and their symptoms. The diagnosis may further confirmed in the laboratory through a technique called RT-PCR (Reverse Transcription Polymerase Chain Reaction).,"Two antiviral agents are helpful in preventing or reducing the effects of swine flu. They are zanamivir (Relenza) and oseltamivir (Tamiflu). Both are also used to prevent or reduce influenza A and B symptoms.,These drugs should not be used indiscriminately i.e. without the doctor’s prescription. Because it can lead to ineffectiveness of the drug due to viral resistance."
Syphilis,"Syphilis is sexually transmitted infection (STI) caused by the spirochete bacterium Treponema pallidum. This disease can be passed to another person through kissing or close physical contact. The infected person is often unaware of the disease and unknowingly passes it on to his or her sexual partner.,The sexual behaviour  that spreads syphilis can also spread other Sexually transmitted diseases(STD's) like gonorrhea, HIVs.",The symptoms of syphilis are the same for men and women. Also symptoms are mild and thus can be difficult to recognize.,"Syphilis is caused by the bacteria Treponema pallidum.,The bacteria can enter one's body if he/she have close contact with an infected sore, normally during vaginal, anal or oral sex or by sharing sex toys.,Reference:,http://www.niaid.nih.gov",Physical examination:,"Penicillin, an antibiotic, injected into the muscle, is the best treatment for syphilis. If someone is allergic to penicillin, then healthcare provider may give another antibiotic to take by mouth."
Superior Limbic Keratoconjunctivitis,"Superior limbic keratoconjunctivitis (SLK) is relatively an uncommon chronic disease of superior limbus/cornea, and superior bulbar and tarsal conjunctiva. It affects one or both eyes of middle-aged people, about half the patients have abnormal thyroid function (usually hyperthyroidism). About three percent of patients with thyroid eye disease develop SLK. Women are more commonly affected than men.",The characteristic feature of the symptoms of SLK is its variability with intermittent remissions and exacerbations.,Soft contact lens wear may be associated with features like SLK.  It may be attributable to preservatives especially thiomersal. Removal of lens or preservatives is usually curative.,"History of contact lens wear, and previous eyelid surgery or trauma should be obtained from the patient.",Management should be carried out under medical supervision.
Stroke,"Stroke (also known as Brain Attack) occurs when blood supply to the  brain is affected due to either blockage or leakage (or both blockage and leakage)  of a blood vessel responsible for supplying or draining blood to and from  the brain, thereby, causing brain damage leading to difficulty in movements, sensation, speaking, vision etc. or at times to death.","Stroke can affect any movement, senses, speech, behavior, thoughts, memory, and emotions. The body may become paralyzed or weak.",Presence of following risk factors place people at increased risk for developing stroke.,"Strokes is primarily a clinical diagnosis, supported by  brain imaging.","All patients need good supportive care in a stroke unit, looked after by physicians, nurses, physiotherapists, Speech therapists, Occupational therapists with help from Radiologists, Neurosurgeons and others with interest in stroke."
Scrub Typhus,Scrub typhus,"A Papule develops at the site of bite. Bites are often found on the groin, axillae, genitalia or neck.  The papule ulcerates and eventually heals with development of a black eschar.",Scrub typhus is caused by a bacterium called Orientia tsutsugamushi. Infection is transmitted by the mite Leptotrombidium deliense.,"Scrub typhus commonly presents as an undifferentiated fever that requires laboratory confirmation for the diagnosis,","Scrub typhus is treated with antibiotics. Treatment to be given will depend on the age of patient, pregnancy status of female patient."
Sexually Transmitted Infections (Stis),Sexually transmitted infections (STIs),"The majority of STIs are present without symptoms. A person can have an STI without having obvious symptoms of disease. Therefore, the term “sexually transmitted infection” a broader term than “sexually transmitted disease” (STD) is preferred.","STIs are caused by more than 30 different bacteria, viruses and parasites. The major STIs and their causes are:",Accurate diagnostic tests for STIs are widely used in high-income countries. These are especially useful for the diagnosis of asymptomatic infections.,STI case management is the care of a person with an STI-related syndrome or with a positive test for one or more STIs.
Shaken Baby Syndrome,"Shaken baby syndrome (SBS) is a violent act of one form of child abuse, a non-accidental traumatic brain injury, which can cause neurologic, cognitive and other functional deficits. Retinal findings may be the only manifestation of SBS and then an eye specialist may initially recognise it. Cases should be thoroughly reviewed and prevention strategies developed to prevent further incidents. SBS has important medico-legal implications since the safety of child may be at stake.",SBS victims may present with a wide variety of symptoms ranging from very mild to most critical of states.,"Head injuries are the chief cause of traumatic death and leading cause of fatalities due to child abuse. Serious injuries in infants, notably those causing death, are rarely accidental unless there is a clear cause for the injuries, such as road traffic accident due to motor vehicle.","The onset of symptoms is useful both in understanding prognosis as well as determining a cause. Timing can best be established by the history, clinical course and results of diagnostic imaging studies. When accurate, the clinical history is the most precise means for establishing a timeline. Elapsed time from the onset of injury can be estimated through the breakdown of intracranial haemoglobin as seen on diagnostic radiological studies.",Management should be strictly under medical supervision.
